stop,time_to_CBD
19874,0.0
19985,0.0
20004,0.0
19957,0.0
19898,0.0
19921,0.0
20022,0.0
20037,0.0
19918,0.0
20010,0.0
20016,0.0
19878,0.0
20013,0.0
20025,0.0
19920,0.0
19897,0.0
19989,0.0
20021,0.0
19903,0.0
19984,0.0
19923,0.0
19854,0.0
20036,0.0
19947,0.0
19948,0.0
19961,0.0
20008,0.0
19915,0.0
19959,0.0
40220,0.0
20003,0.0
19906,0.0
19914,0.0
19888,0.0
19869,0.0
20041,0.0
19927,0.0
20002,0.0
45795,0.0
20015,0.0
19893,0.0
20001,0.0
19851,0.0
19995,0.0
19908,0.0
20032,0.0
19975,0.0
19889,0.0
19936,0.0
19926,0.0
19928,0.0
19911,0.0
19977,0.0
19971,0.0
19967,0.0
19902,0.0
19963,0.0
19873,0.0
19929,0.0
19866,0.0
19997,0.0
20009,0.0
19865,0.0
19944,0.0
20007,0.0
19966,0.0
20042,0.0
19949,0.0
19843,0.0
15351,0.0
20000,0.0
19900,0.0
19847,0.0
19862,0.0
19894,0.0
20033,0.0
19924,0.0
44817,0.0
20031,0.0
19976,0.0
20035,0.0
20017,0.0
19978,0.0
19938,0.0
20024,0.0
19970,0.0
19895,0.0
19904,0.0
19931,0.0
20023,0.0
19952,0.0
19871,0.0
19956,0.0
20011,0.0
19950,0.0
19933,0.0
19912,0.0
19916,0.0
19988,0.0
19943,0.0
19864,0.0
19964,0.0
19969,0.0
20030,0.0
19913,0.0
19891,0.0
19879,0.0
19842,0.0
19925,0.0
19877,0.0
19919,0.0
19932,0.0
20040,0.0
19935,0.0
19863,0.0
19946,0.0
19968,0.0
19875,0.0
19848,0.0
19917,0.0
19922,0.0
19840,0.0
19892,0.0
19849,0.0
19955,0.0
20027,0.0
19930,0.0
19962,0.0
19958,0.0
19942,0.0
19901,0.0
19939,0.0
46468,0.0
19994,0.0
19986,0.0
19896,0.0
19983,0.0
19870,0.0
20005,0.0
19885,0.0
20026,0.0
19953,0.0
19987,0.0
19910,0.0
19951,0.0
19872,0.0
19965,0.0
19934,0.0
19899,0.0
19996,0.0
20014,0.0
19940,0.0
19850,0.0
19838,0.0
19954,0.0
19941,0.0
19890,0.0
40221,0.0
19852,0.0
20012,0.0
19905,0.0
19859,0.0
19853,0.0
19907,0.0
19960,0.0
19868,0.0
20006,0.0
19945,0.0
19839,0.0
19858,0.0
19937,0.0
19876,0.0
